Title,Link,keywords,publicationDate,authors,publication,abstract
"Phylogenomics, phenotypic, and functional traits of five novel (Earth-derived) bacterial species isolated from the International Space Station and their prevalence in metagenomes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10628120/,"['International Space Station', 'Bacteria', 'Space']",2020-11-29,"['Dr. Lisa Park', 'Dr. Aisha Khan', 'Dr. James Rodriguez']",Microgravity Science and Technology,"This research paper investigates phylogenomics, phenotypic, and functional traits of five novel (earth-derived) bacterial species isolated from the international space station and their prevalence in metagenomes. The research supports development of countermeasures for space travel."
Adaptation to space conditions of novel bacterial species isolated from the International Space Station revealed by functional gene annotations and comparative genome analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11451251/,"['Adaptation', 'Gene', 'International Space Station', 'Rat', 'Bacteria', 'Space']",2022-06-11,['Dr. Catherine Martinez'],Aerospace Medicine and Human Performance,This research paper investigates adaptation to space conditions of novel bacterial species isolated from the international space station revealed by functional gene annotations and comparative genome analysis. The results have implications for long-duration space missions.
Spatial regulation of a common precursor from two distinct genes generates metabolite diversity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5523082/,"['Gene', 'Rat']",2023-12-09,"['Dr. Kenji Tanaka', 'Dr. Maria Gonzalez', 'Dr. Elena Petrov']",Space Life Sciences,This research paper investigates spatial regulation of a common precursor from two distinct genes generates metabolite diversity. The study provides new insights into the biological mechanisms involved.
Recent advances in the genome mining of Aspergillus secondary metabolites (covering 2012–2018).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6590338/,[],2022-04-04,['Dr. Sarah Wilson'],International Journal of Space Biology,This research paper investigates recent advances in the genome mining of aspergillus secondary metabolites (covering 2012⊓2018).. The results have implications for long-duration space missions.
Cortical thinning and structural bone changes in non-human primates after single-fraction whole-chest irradiation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6036641/,"['Human', 'Bone', 'Radiation']",2024-11-05,"['Dr. David Kim', 'Dr. Jennifer Lee', 'Dr. James Rodriguez']",Gravitational and Space Research,This research paper investigates cortical thinning and structural bone changes in non-human primates after single-fraction whole-chest irradiation.. The results have implications for long-duration space missions.
Knee and Hip Joint Cartilage Damage from Combined Spaceflight Hazards of Low-Dose Radiation Less than 1 Gy and Prolonged Hindlimb Unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6599637/,"['Radiation', 'Spaceflight', 'Space']",2024-11-13,"['Dr. Lisa Park', 'Dr. Sofia Rossi']",Journal of Astrobiology,This research paper investigates knee and hip joint cartilage damage from combined spaceflight hazards of low-dose radiation less than 1 gy and prolonged hindlimb unloading.. The study provides new insights into the biological mechanisms involved.
The individual and combined effects of spaceflight radiation and microgravity on biologic systems and functional outcomes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8274610/,"['Microgravity', 'Radiation', 'Spaceflight', 'Space']",2023-06-15,"['Dr. David Kim', 'Dr. Elena Petrov']",Gravitational and Space Research,This research paper investigates the individual and combined effects of spaceflight radiation and microgravity on biologic systems and functional outcomes. The study provides new insights into the biological mechanisms involved.
Spaceflight and hind limb unloading induces an arthritic phenotype in knee articular cartilage and menisci of rodents,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8131644/,"['Spaceflight', 'Space']",2020-12-18,"['Dr. Jian Li', 'Dr. Sofia Rossi', 'Dr. Elena Petrov', 'Dr. David Kim']",Microgravity Science and Technology,This research paper investigates spaceflight and hind limb unloading induces an arthritic phenotype in knee articular cartilage and menisci of rodents. The results have implications for long-duration space missions.
αKlotho decreases after reduced weight-bearing from both spaceflight and hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9163032/,"['Spaceflight', 'Space']",2023-03-09,['Dr. Lisa Park'],Aerospace Medicine and Human Performance,This research paper investigates ϱklotho decreases after reduced weight-bearing from both spaceflight and hindlimb unloading. The research supports development of countermeasures for space travel.
Prolonged exposure to particulate chromate inhibits RAD51 nuclear import mediator proteins.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5568470/,['Protein'],2021-09-26,"['Dr. Sarah Wilson', 'Dr. Sofia Rossi', 'Dr. Ben Carter', 'Dr. James Rodriguez']",Space Medicine Review,This research paper investigates prolonged exposure to particulate chromate inhibits rad51 nuclear import mediator proteins.. Our findings contribute to understanding adaptation in space environments.
"Transcriptomics, NF-κB Pathway, and Their Potential Spaceflight-Related Health Consequences.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5485990/,"['Spaceflight', 'Space']",2024-08-13,"['Dr. Kenji Tanaka', 'Dr. Richard Chen', 'Dr. James Rodriguez', 'Dr. David Kim']",Radiation Research,"This research paper investigates transcriptomics, nf-Ϻb pathway, and their potential spaceflight-related health consequences.. The research supports development of countermeasures for space travel."
Interplay of space radiation and microgravity in DNA damage and DNA damage response.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460239/,"['Radiation', 'Microgravity', 'Dna', 'Space']",2020-11-25,"['Dr. David Kim', 'Dr. Catherine Martinez', 'Dr. Robert Garcia', 'Dr. Ben Carter']",Radiation Research,This research paper investigates interplay of space radiation and microgravity in dna damage and dna damage response.. The research supports development of countermeasures for space travel.
"Synergistic Effects of Weightlessness, Isoproterenol, and Radiation on DNA Damage Response and Cytokine Production in Immune Cells",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6275019/,"['Immune', 'Cell', 'Dna', 'Radiation']",2024-11-13,['Dr. Elena Petrov'],Space Life Sciences,"This research paper investigates synergistic effects of weightlessness, isoproterenol, and radiation on dna damage response and cytokine production in immune cells. Our findings contribute to understanding adaptation in space environments."
Transcriptome and proteome responses in RNAlater preserved tissue of Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5397022/,"['Arabidopsis', 'Iss', 'Tissue']",2021-11-06,['Dr. Jian Li'],Journal of Astrobiology,This research paper investigates transcriptome and proteome responses in rnalater preserved tissue of arabidopsis thaliana.. The research supports development of countermeasures for space travel.
Spaceflight induces novel regulatory responses in Arabidopsis seedling as revealed by combined proteomic and transcriptomic analyses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7251690/,"['Arabidopsis', 'Spaceflight', 'Space']",2023-12-18,"['Dr. Sarah Wilson', 'Dr. Maria Gonzalez', 'Dr. Elena Petrov']",Microgravity Science and Technology,This research paper investigates spaceflight induces novel regulatory responses in arabidopsis seedling as revealed by combined proteomic and transcriptomic analyses.. This work advances our knowledge of biological responses to microgravity.
Mitigation and use of biofilms in space for the benefit of human space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10284894/,"['Human', 'Rat', 'Space']",2024-08-02,"['Dr. Robert Garcia', 'Dr. Sofia Rossi']",International Journal of Space Biology,This research paper investigates mitigation and use of biofilms in space for the benefit of human space exploration. Our findings contribute to understanding adaptation in space environments.
Toward sustainable space exploration: A roadmap for harnessing the power of microorganisms.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10030976/,"['Organ', 'Rat', 'Space']",2023-11-20,"['Dr. Lisa Park', 'Dr. Thomas Anderson', 'Dr. Sofia Rossi', 'Dr. Ben Carter']",Microgravity Science and Technology,This research paper investigates toward sustainable space exploration: a roadmap for harnessing the power of microorganisms.. The study provides new insights into the biological mechanisms involved.
Longitudinal characterization of multispecies microbial populations recovered from spaceflight potable water,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8421509/,"['Spaceflight', 'Space']",2020-12-02,"['Dr. Amanda Taylor', 'Dr. Lisa Park', 'Dr. Sofia Rossi', 'Dr. Jian Li']",Journal of Astrobiology,This research paper investigates longitudinal characterization of multispecies microbial populations recovered from spaceflight potable water. The research supports development of countermeasures for space travel.
Designing a Novel Monitoring Approach for the Effects of Space Travel on Astronauts’ Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9964234/,"['Astronaut', 'Space']",2023-08-29,"['Dr. David Kim', 'Dr. Lisa Park', 'Dr. Richard Chen']",Life Support & Space Habitation,This research paper investigates designing a novel monitoring approach for the effects of space travel on astronauts⊙ health. The study provides new insights into the biological mechanisms involved.
"Draft genome sequence of Sphingomonas paucimobilis strain Sph5, isolated from tap water filtration membrane",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10793275/,['Rat'],2020-04-23,['Dr. Elena Petrov'],Life Support & Space Habitation,"This research paper investigates draft genome sequence of sphingomonas paucimobilis strain sph5, isolated from tap water filtration membrane. Our findings contribute to understanding adaptation in space environments."
Overexpression of CupB5 activates alginate overproduction in Pseudomonas aeruginosa by a novel AlgW-dependent mechanism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4116675/,[],2024-03-23,"['Dr. Jian Li', 'Dr. Richard Chen']",Life Support & Space Habitation,This research paper investigates overexpression of cupb5 activates alginate overproduction in pseudomonas aeruginosa by a novel algw-dependent mechanism. The results have implications for long-duration space missions.
